id,name,winningbid,metersread
265,2002 Cat 815F Soil Compactor,"US $131,000","22,201 Hours"
266,2003 Cat 623G Elevating Motor Scraper,"US $159,000","23,946 Hours"
267,2003 Cat 623G Elevating Motor Scraper,"US $153,000","22,782 Hours"
268,2015 Cat PL61 Pipelayer,"US $98,000",927 Hours
269,2005 Cat 615C Series II Motor Scraper,"US $96,000","3,685 Hours"
270,2019 Cat 730 Articulated Dump Truck,"US $366,000","3,008 Hours"
271,2019 Cat 323 Tracked Excavator,"US $225,000","1,135 Hours"
272,2017 Cat D8T Crawler Dozer,"US $505,000","2,435 Hours"
273,2017 Cat D8T Crawler Dozer,"US $545,000",916 Hours
274,2017 Cat D6T LGP Crawler Dozer,"US $279,000","3,695 Hours"
275,2017 Cat D6T LGP Crawler Dozer,"US $246,000","3,438 Hours"
276,2016 Cat AP1055F Track Asphalt Paver,"US $132,000","4,168 Hours"
277,2003 Cat D11R Crawler Dozer,"US $101,000","37,707 Hours"
278,2018 Cat 986K Wheel Loader,"US $425,000","6,887 Hours"
279,2013 Cat D8T Crawler Dozer,"US $291,000","4,388 Hours"
280,2011 Cat 420E 4x4 Backhoe Loader,"US $52,000","5,227 Hours"
281,2020 Cat 236D3 Skid Steer Loader,"US $20,000","6,314 Hours"
282,2017 Cat 242D Skid Steer Loader,"US $21,500","2,034 Hours"
283,2017 Cat 259D Two-Speed Compact Track Loader,"US $34,000",934 Hours
284,2015 Cat 226B3 Skid Steer Loader,"US $17,500","1,711 Hours"
285,2019 Cat 304E2 CR Mini Excavator,"US $41,000","1,099 Hours"
286,2018 Cat 259D Two-Speed Compact Track Loader,"US $57,000",349 Hours
287,2008 Cat 305C Mini Excavator,"US $27,000","5,689 Hours"
288,2012 Cat 305E CR Mini Excavator,"US $30,500","3,430 Hours"
289,2005 Cat D4G XL Crawler Dozer,"US $29,000","6,143 Hours"
290,2018 Cat 303E CR Mini Excavator,"US $23,000",NONE
291,2012 Cat 246C Two-Speed Skid Steer Loader,"US $23,500","1,016 Hours"
292,2011 Cat 320DL Tracked Excavator,"US $63,000","10,130 Hours"
293,2012 Cat 304E CR Mini Excavator,"US $32,500",NONE
294,2014 Cat 299D Two-Speed Compact Track Loader,"US $56,000",874 Hours
295,2014 Cat 336ELH Track Excavator,"US $69,000","9,698 Hours"
296,2015 Cat 308E2 CR Tracked Excavator,"US $55,000","1,275 Hours"
297,2012 Cat 246C Two-Speed Skid Steer Loader,"US $26,500",698 Hours
298,2022 Cat 289D3 Two-Speed High Flow XPS Compact Track Loader,"US $80,000",542 Hours
299,2012 Cat 246C Two-Speed Skid Steer Loader,"US $25,000",924 Hours
