id,name,winningbid,metersread
250,2013 Cat 320EL Tracked Excavator,"US $76,000","7,275 Hours"
251,2005 Cat 330C Tracked Excavator,"US $16,700","10,585 Hours"
252,2005 Cat 345C L Tracked Excavator,"US $29,000","21,419 Hours"
253,2018 Cat 349FL Tracked Excavator,"US $82,000","13,097 Hours"
254,2015 Cat 304E2CR Mini Excavator,"US $30,000","1,835 Hours"
255,2012 Cat 304E Mini Excavator,"US $20,000","3,300 Hours"
256,2012 Cat 329EL Tracked Excavator,"US $80,000","5,569 Hours"
257,1998 Cat 322B L Tracked Excavator,"US $27,500","4,966 Hours"
258,Cat 375L Tracked Excavator,"US $9,000","27,946 Hours"
259,2006 Cat 345C Tracked Excavator,"US $33,000","15,292 Hours"
260,2018 Cat 323 Tracked Excavator,"US $63,000",NONE
261,2008 Cat 325D Tracked Excavator,"US $31,000","9,205 Hours"
262,2015 Cat 308E2CRSB Mini Excavator,"US $49,000","1,617 Hours"
263,2015 Cat 314E L CR Tracked Excavator,"US $70,000","4,085 Hours"
264,2013 Cat 320E L Tracked Excavator,"US $80,000","7,273 Hours"
265,1996 Cat 320B L Tracked Excavator,"US $16,600","12,436 Hours"
266,2015 Cat 329F L Tracked Excavator,"US $58,000","4,533 Hours"
267,2005 Cat 325CL Tracked Excavator,"US $60,500","12,645 Hours"
268,2016 Cat 336FL Tracked Excavator,"US $75,000","9,362 Hours"
269,1993 (unverified) Cat EL240C Long Reach Tracked Excavator,"US $23,000","1,266 Hours"
270,2000 Cat 320BL Tracked Excavator,"US $38,000","18,028 Hours"
271,Cat 225LC Tracked Excavator,"US $3,500",NONE
272,2018 Cat M322F Wheel Excavator,"US $92,000","4,928 Hours"
273,2005 Cat 365BL Tracked Excavator,"US $12,500","15,846 Hours"
274,Cat 330C Tracked Excavator,"US $18,000","17,454 Hours"
275,1989 Cat E240B Tracked Excavator,"US $4,100",NONE
276,2007 Cat 345 CL Tracked Excavator,"US $19,500","20,650 Hours"
277,2003 Cat 345BL Series II Tracked Excavator,"US $30,500","9,825 Hours"
278,2015 Cat 349FL Tracked Excavator,"US $93,000","9,970 Hours"
279,1997 Cat 312B L Tracked Excavator,"US $18,000","3,516 Hours"
280,Cat 225B LC Tracked Excavator,"US $8,000","15,581 Hours"
281,1988 Cat 215C LC Tracked Excavator,"US $1,000",581 Hours
282,2017 Cat 303.5E2CR Mini Excavator,"US $26,000","2,177 Hours"
283,2005 Cat 320CL Tracked Excavator,"US $47,000","10,139 Hours"
284,2013 Cat 320EL Tracked Excavator,"US $50,000","8,394 Hours"
285,2015 Cat 336FL Tracked Excavator,"US $70,000","9,351 Hours"
286,2007 Cat 325D L Tracked Excavator,"US $26,500","16,982 Hours"
287,2006 Cat 330DL Tracked Excavator,"US $26,001",NONE
288,2021 Cat 303E Mini Excavator,"US $39,000",428 Hours
289,Cat 235B Tracked Excavator,"US $6,000","9,758 Hours"
290,1989 Cat 235C Tracked Excavator,"US $5,000","19,325 Hours"
291,2019 Cat 310-07 Tracked Excavator,"US $59,000","2,413 Hours"
292,2005 Cat 325CL Tracked Excavator,"US $12,500",NONE
293,2007 Cat 345C Tracked Excavator,"US $11,000",NONE
294,2006 Cat 330D L Tracked Excavator,"US $46,400","9,576 Hours"
295,2014 Cat 336EL Tracked Excavator,"US $79,000",NONE
296,2019 Cat 313F L Tracked Excavator,"US $90,000","4,169 Hours"
297,2006 Cat 345C L Tracked Excavator,"US $44,000","12,702 Hours"
298,2018 Cat 349FL Tracked Excavator,"US $78,000","11,846 Hours"
299,2013 Cat 349EL Tracked Excavator,"US $75,000","13,811 Hours"
